,Company Name,Company Category,Company Address,Company Locality,Company Phone Number,Company Fax Number,Company Website,Company Email
0,"AHC - Huntersville, Div. of AHC Hardwood Group",Distribution/Concentration Yard,11701 McCord Road,"Huntersville, NC 28070",(704)875-6587 (800)248-4393 ,(704)875-6657 ,www.hardwoodweb.com ,AHC@hardwoodweb.com 
1,Atlanta Hardwood Corporation,Distribution/Concentration Yard,5596 Riverview Road,"Mableton, GA 30126",(404)792-2290 (800)476-5393 ,(404)792-2294 ,www.hardwoodweb.com ,ahc@hardwoodweb.com 
2,"Banks Hardwoods, Inc.",Distribution/Concentration Yard,69937 M-103,"White Pigeon, MI 49099",(269)483-2323 ,(269)483-2483 ,www.bankshardwoods.com ,
3,"Banks Hardwoods, Inc.",Distribution/Concentration Yard,"2208 Wagner St., P. O. Box 245","Menomonie, WI 54751",(715)235-5301 ,(715)235-5317 ,www.bankshardwoods.com ,
4,"Bingaman & Son Lumber, Inc.",Distribution/Concentration Yard,1195 Creek Mountain Road P. O. Box 247,"Kreamer, PA 17833",(570)374-1108 * ,(570)374-5342 ,www.bingamanlumber.com ,info@bingamanlumber.com 
5,"Cole Hardwood, Inc.",Distribution/Concentration Yard,"P. O. Box 568, 1611 W. Market St.","Logansport, IN 46947",(574)753-3151 (800)536-3151 ,(574)753-2525 (800)536-2526 ,www.colehardwood.com ,
6,Granite Valley Forest Products,Distribution/Concentration Yard,P. O. Box 506,"Marathon City, WI 54448",(715)443-3317 ,(715)443-3581 ,www.granitevalley.com ,
7,Granite Valley Forest Products,Distribution/Concentration Yard,500 County Highway S,"New London, WI 54961",(920)982-2542 ,(920)982-4591 ,www.granitevalley.com ,
8,"GTL Lumber, Inc.",Distribution/Concentration Yard,1301 Adams Lane,"Ironton, OH 45638",(740)533-0800 ,(740)533-0725 ,www.grafandthomaslbr.com ,erin@grafandthomaslbr.com 
9,"Hartzell Hardwoods, Inc.",Distribution/Concentration Yard,1025 S. Roosevelt Ave.,"Piqua, OH 45356",(937)773-7054 ,(937)773-6160 ,www.hartzellhardwoods.com ,sales@hartzell.com 
10,"Hartzell Hardwoods, Inc.",Distribution/Concentration Yard,3301 N. Industrial Dr.,"Kirksville, MO 63501",(937)773-7054 ,(937)773-6160 ,www.hartzellhardwoods.com ,sales@hartzell.com 
11,"Hermitage Hardwood Lumber Sales, Inc.",Distribution/Concentration Yard,P. O. Box 698,"Cookeville, TN 38503",(931)526-6832 ,(931)526-4769 ,www.hermitagehardwood.com ,info@hermitagehardwood.com 
12,Kennebec Lumber Co.,Distribution/Concentration Yard,P. O. Box 288 105 S. Main St.,"Solon, ME 04979",2076432110 ,2078585916 ,www.kennebeclumber.com ,
13,"Legacy Wood Products, LLC",Distribution/Concentration Yard,1050 Girdley St.,"West Plains, MO 65775",(417)257-2054 ,(417)257-1804 ,www.legacywoodproducts.com ,
14,McClain Forest Products LLC,Distribution/Concentration Yard,1050 Girdley St.,"West Plains, MO 65775",(417)257-7795 ,(417)257-7193 ,www.mcclainforestproducts.com ,
15,New River Hardwoods Inc.,Distribution/Concentration Yard,4343 Highway 91,"Mountain City, TN 37683",(423)727-4019 ,(423)727-4438 ,www.newriverhardwoods.com ,mbabcock@newriverhardwoods.com 
16,Newman Lumber Company,Distribution/Concentration Yard,P. O. Box 2580,"Gulfport, MS 39505",(800)647-9547 (228)832-1899 *Gulfport ,(228)831-1149 ,www.newmanlumber.com ,info@newmanlumber.com 
17,O'Shea Lumber Company,Distribution/Concentration Yard,11425 Susquehanna Trail,"Glen Rock, PA 17327",(717)235-1992 (800)638-0296 *TollFree ,(717)235-0200 ,www.oshealumber.com ,
18,Progressive Lumber Co. LLC,Distribution/Concentration Yard,200 Industrial Park Rd.,"Columbia, KY 42728",(606)627-0640 ,,,
19,Robinson Lumber Company,Distribution/Concentration Yard,776 Lucas Road,"Bellefonte, PA 16823",(814)355-9583 ,,,
20,Robinson Lumber Company,Distribution/Concentration Yard,1750 Ormond Dr.,"New Albany, IN 47150",(812)944-8020 ,,www.roblumco.com ,drauh@roblumco.com 
21,Sitco | OHC,Distribution/Concentration Yard,5385 TX-103E,"Lufkin, TX 75901",8009997616 ,2514577633 ,www.ohc.net ,sales@ohc.net 
